TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,cluster
623.9,Debit,San Jose,ATM,27,Student,249,711.47,1
63.41,Debit,Fort Worth,ATM,26,Student,36,1546.22,1
346.85,Debit,Kansas City,ATM,44,Doctor,88,7208.15,0
71.95,Credit,Omaha,Online,59,Engineer,53,9267.32,2
7.5,Debit,Dallas,Online,63,Retired,36,6485.78,0
206.46,Debit,Virginia Beach,ATM,65,Retired,279,3984.38,1
423.11,Debit,Columbus,ATM,60,Engineer,47,412.78,1
35.84,Credit,Colorado Springs,Online,54,Retired,172,4795.65,0
88.6,Credit,Raleigh,Branch,28,Student,105,246.57,1
22.46,Debit,New York,Online,54,Retired,78,6631.5,0
334.89,Debit,Fort Worth,Online,21,Student,260,1661.68,1
319.27,Credit,Omaha,Online,54,Retired,59,5504.01,0
144.3,Debit,Oklahoma City,ATM,18,Student,88,312.19,1
348.7,Credit,Fresno,Branch,69,Retired,149,2445.58,1
366.21,Debit,Oklahoma City,ATM,62,Doctor,181,10862.99,2
99.11,Debit,Philadelphia,Online,55,Retired,12,5414.87,0
539.35,Debit,Milwaukee,ATM,55,Retired,127,3919.44,1
188.99,Debit,Oklahoma City,Branch,58,Engineer,92,7315.34,0
710.14,Debit,El Paso,ATM,26,Student,227,465.63,1
308.68,Debit,Milwaukee,Online,53,Doctor,170,9992.36,2
166.68,Debit,Mesa,ATM,57,Retired,139,5141.19,0
0.99,Debit,Los Angeles,ATM,45,Engineer,133,4317.85,0
66.58,Debit,Raleigh,Branch,23,Student,79,1636.32,1
223.43,Debit,Dallas,Branch,77,Retired,178,7932.41,0
659.95,Debit,Detroit,Online,60,Engineer,114,3927.69,1
634.86,Debit,Chicago,ATM,27,Student,45,588.5,1
286.5,Credit,Boston,Branch,30,Engineer,60,8517.95,0
322.96,Credit,Philadelphia,Branch,76,Retired,168,2401.59,1
654.48,Debit,Columbus,Branch,19,Student,114,6776.41,0
157.97,Debit,Philadelphia,Branch,48,Doctor,140,5529.92,0
120.9,Debit,Tucson,Branch,40,Doctor,52,9009.42,0
254.77,Debit,Denver,Branch,57,Engineer,57,5994.87,0
795.96,Debit,Raleigh,Online,65,Retired,119,5468.58,0
149.25,Debit,Omaha,ATM,39,Engineer,142,5677.52,0
3.42,Credit,San Antonio,Online,43,Doctor,158,14180.21,2
68.19,Credit,Fresno,Online,40,Doctor,189,9895.1,2
493.42,Debit,Baltimore,Branch,39,Engineer,111,2232.84,1
37.57,Debit,El Paso,ATM,57,Retired,42,7739.54,0
96.89,Debit,Sacramento,ATM,59,Retired,53,6044.93,0
448.33,Debit,Atlanta,ATM,25,Student,161,922.19,1
8.65,Debit,Las Vegas,Online,48,Doctor,273,10778.35,2
65.57,Debit,Miami,Online,41,Engineer,82,7513.79,0
539.81,Debit,San Francisco,Online,46,Engineer,177,2051.25,1
363.53,Debit,Kansas City,ATM,63,Retired,142,1038.91,1
64.9,Credit,Detroit,Branch,51,Retired,72,6854.61,0
358.18,Debit,Boston,ATM,18,Student,157,619.86,1
167.2,Debit,San Antonio,Branch,30,Doctor,84,11320.83,2
121.91,Debit,Chicago,Branch,60,Doctor,133,14510.8,2
137.57,Debit,Louisville,Online,54,Engineer,70,5103.67,0
534.62,Debit,Oklahoma City,Online,55,Doctor,45,13793.53,2
463.92,Debit,Mesa,Online,50,Engineer,199,2403.39,1
320.14,Debit,Milwaukee,Online,60,Retired,96,3075.97,1
214.93,Debit,Albuquerque,Online,28,Student,52,7835.4,0
660.02,Debit,Nashville,Branch,20,Student,84,414.43,1
345.81,Debit,Raleigh,Branch,40,Engineer,135,6116.8,0
143.54,Debit,Philadelphia,ATM,71,Retired,80,6067.62,0
42.55,Debit,Seattle,Branch,53,Engineer,29,7341.43,0
541.79,Debit,Mesa,ATM,22,Student,125,1454.08,1
40.57,Debit,Columbus,Branch,26,Student,63,1476.91,1
498.67,Debit,Miami,Online,28,Student,244,1719.97,1
227.22,Debit,El Paso,ATM,53,Doctor,220,832.82,1
56.94,Credit,Charlotte,Online,76,Retired,74,7004.63,0
629.82,Debit,Colorado Springs,ATM,68,Retired,159,6385.69,0
59.44,Debit,Chicago,Online,35,Engineer,176,5472.03,0
186.69,Debit,New York,Branch,30,Engineer,54,8602.22,0
230.46,Debit,Mesa,Online,19,Student,179,162.53,1
65.09,Credit,Seattle,Online,44,Engineer,159,9370.9,2
457.09,Credit,Nashville,Online,55,Engineer,63,8570.82,0
552.02,Credit,Chicago,ATM,44,Engineer,100,522.08,1
377.12,Debit,Houston,ATM,34,Engineer,61,836.67,1
204.56,Credit,San Diego,Branch,18,Student,179,364.72,1
420.28,Debit,Washington,Branch,35,Doctor,144,8557.32,0
124.59,Debit,Charlotte,Branch,27,Student,171,129.29,1
73.88,Debit,Charlotte,Online,39,Doctor,34,6474.41,0
77.43,Debit,Raleigh,Online,21,Student,169,1380.21,1
245.93,Debit,Fresno,Branch,54,Engineer,172,7986.63,0
622.41,Debit,Indianapolis,ATM,64,Doctor,125,7322.01,0
43.73,Debit,Omaha,ATM,34,Doctor,145,9929.43,2
2.03,Credit,Detroit,ATM,33,Engineer,28,3012.31,1
770.65,Debit,Jacksonville,Online,31,Doctor,137,7198.8,0
260.31,Debit,Austin,Branch,63,Doctor,113,10980.38,2
356.1,Credit,Fort Worth,Branch,26,Student,187,868.35,1
27.07,Credit,Virginia Beach,Branch,80,Retired,39,3773.29,1
119.89,Debit,Tucson,ATM,67,Doctor,60,6697.77,0
106.39,Debit,Virginia Beach,Online,37,Doctor,281,9410.99,2
12.04,Debit,Fort Worth,Online,37,Engineer,58,6213.32,0
29.38,Credit,Baltimore,Branch,28,Student,63,1663.31,1
319.85,Debit,Denver,ATM,60,Doctor,148,711.66,1
350.14,Credit,Los Angeles,Online,75,Retired,38,2403.25,1
163.94,Credit,Virginia Beach,Branch,52,Retired,73,5957.37,0
170.53,Debit,Oklahoma City,Branch,24,Student,58,801.01,1
262.22,Credit,Baltimore,ATM,40,Engineer,136,5711.71,0
41.49,Debit,Albuquerque,Online,24,Student,13,928.33,1
121.43,Credit,Sacramento,Branch,52,Engineer,243,7365.28,0
350.46,Debit,Nashville,Branch,51,Retired,165,5839.38,0
220.41,Credit,El Paso,Online,26,Engineer,155,5116.98,0
33.46,Debit,Seattle,ATM,72,Retired,111,3641.07,1
104.79,Debit,Denver,ATM,70,Doctor,223,1352.19,1
246.27,Debit,Fresno,Online,29,Doctor,141,7299.86,0
48.85,Debit,Dallas,ATM,19,Student,176,1503.56,1
332.0,Debit,Charlotte,ATM,69,Retired,17,5943.13,0
118.1,Debit,Memphis,Online,54,Engineer,167,895.66,1
84.59,Credit,Las Vegas,Branch,67,Doctor,10,5669.1,0
295.64,Debit,Jacksonville,Online,21,Student,82,1061.96,1
514.33,Debit,Philadelphia,Branch,25,Student,160,1592.94,1
94.59,Debit,Washington,Online,39,Doctor,34,6171.89,0
80.43,Debit,Columbus,Branch,59,Retired,157,5987.67,0
54.25,Debit,Virginia Beach,Online,68,Doctor,37,14783.33,2
518.85,Debit,Kansas City,Online,22,Student,82,1806.0,1
10.65,Debit,Louisville,Online,54,Doctor,161,13240.72,2
198.62,Credit,Tucson,Branch,27,Student,84,1196.07,1
107.03,Debit,Miami,Branch,27,Student,73,1408.07,1
346.11,Debit,Dallas,Branch,41,Engineer,213,9551.64,2
138.06,Debit,Charlotte,Branch,44,Engineer,159,1070.47,1
158.02,Debit,New York,ATM,49,Engineer,120,9374.24,2
830.01,Credit,Chicago,Online,66,Retired,96,4253.18,0
435.5,Debit,Oklahoma City,ATM,55,Retired,112,6981.03,0
110.49,Debit,Raleigh,Online,57,Doctor,48,10483.93,2
329.4,Debit,Denver,Online,34,Doctor,68,9588.07,2
635.4,Debit,Denver,ATM,47,Doctor,106,1238.11,1
769.97,Debit,San Diego,Branch,22,Student,23,1244.93,1
175.07,Debit,Colorado Springs,Branch,26,Student,169,1040.25,1
7.31,Debit,Las Vegas,Branch,78,Retired,282,5757.67,0
175.15,Debit,Detroit,ATM,27,Student,32,1712.65,1
121.82,Debit,Dallas,Online,60,Doctor,119,13293.83,2
56.12,Debit,El Paso,ATM,30,Doctor,102,8839.67,0
424.7,Credit,Miami,Online,56,Retired,178,6239.89,0
35.16,Debit,Chicago,Branch,32,Engineer,130,8459.18,0
35.73,Debit,Miami,Branch,65,Doctor,87,9073.17,0
3.44,Debit,Fort Worth,ATM,78,Retired,108,7561.33,0
139.03,Credit,Los Angeles,Online,50,Engineer,81,2276.57,1
254.92,Credit,San Antonio,ATM,28,Engineer,169,2791.12,1
115.11,Debit,Albuquerque,Online,28,Engineer,139,9808.97,2
171.11,Debit,San Francisco,ATM,57,Retired,171,6324.09,0
420.76,Debit,Miami,Branch,51,Retired,76,6581.55,0
408.46,Debit,Raleigh,Branch,64,Retired,28,3140.79,1
342.17,Credit,New York,Branch,21,Student,247,461.83,1
580.71,Debit,Philadelphia,ATM,53,Engineer,95,5670.0,0
821.54,Credit,Atlanta,Branch,79,Retired,36,4040.32,1
253.47,Debit,Atlanta,Branch,20,Student,238,220.51,1
22.81,Debit,New York,Online,62,Retired,75,3634.76,1
266.57,Credit,Boston,Online,39,Engineer,96,7180.48,0
374.61,Credit,Mesa,Online,75,Retired,37,1389.71,1
339.35,Credit,Boston,ATM,78,Retired,70,5002.7,0
810.36,Debit,Columbus,ATM,20,Student,67,9239.12,2
9.83,Debit,Memphis,ATM,24,Student,86,666.42,1
135.57,Credit,Boston,Branch,51,Doctor,116,11351.64,2
340.05,Debit,Detroit,ATM,43,Engineer,37,7234.15,0
283.45,Debit,Colorado Springs,Branch,27,Engineer,127,2049.51,1
100.99,Debit,New York,ATM,68,Doctor,114,8865.27,0
90.88,Debit,Albuquerque,Branch,18,Student,176,3908.47,1
655.15,Debit,Seattle,ATM,26,Engineer,264,5587.44,0
320.55,Debit,Milwaukee,Online,50,Engineer,118,438.75,1
41.51,Debit,Phoenix,Online,28,Student,48,609.6,1
71.53,Credit,Jacksonville,Branch,68,Retired,39,2393.73,1
467.13,Credit,Kansas City,Branch,54,Retired,45,3914.84,1
235.4,Debit,Detroit,Branch,28,Student,70,818.36,1
159.32,Debit,Seattle,Branch,18,Student,100,304.44,1
50.83,Credit,Philadelphia,Online,30,Doctor,48,9553.42,2
56.89,Credit,Houston,Branch,59,Engineer,56,3034.67,1
20.22,Debit,Jacksonville,ATM,43,Engineer,138,5515.32,0
50.4,Debit,San Antonio,Branch,36,Doctor,84,1677.01,1
73.88,Debit,Los Angeles,Branch,53,Retired,131,4055.55,1
119.61,Debit,San Diego,ATM,33,Doctor,53,9899.94,2
116.58,Debit,Raleigh,Branch,43,Engineer,247,2620.74,1
391.96,Debit,Nashville,ATM,64,Retired,79,2174.16,1
156.26,Credit,Virginia Beach,Branch,46,Engineer,160,7854.1,0
427.0,Credit,Oklahoma City,Branch,49,Engineer,163,8253.65,0
443.68,Debit,Tucson,ATM,18,Student,137,874.15,1
101.76,Debit,Philadelphia,Branch,31,Doctor,26,6043.25,0
67.57,Debit,Charlotte,Branch,37,Engineer,107,2766.12,1
326.29,Debit,Denver,Online,56,Engineer,179,8171.26,0
158.56,Debit,Sacramento,ATM,33,Doctor,100,5401.21,0
56.02,Debit,Memphis,Online,27,Student,142,3548.02,1
288.28,Debit,Portland,Online,27,Student,36,160.83,1
245.67,Credit,Portland,Branch,24,Student,107,752.25,1
114.35,Credit,El Paso,Branch,41,Engineer,21,469.12,1
373.27,Credit,Miami,Online,61,Doctor,79,8441.61,0
504.63,Debit,Portland,Online,60,Engineer,168,3806.16,1
820.15,Debit,Kansas City,Branch,47,Doctor,181,8802.97,0
8.37,Debit,Colorado Springs,ATM,63,Retired,135,1106.34,1
197.49,Credit,Fresno,Online,53,Retired,30,5005.33,0
637.97,Debit,New York,Branch,58,Retired,90,7949.03,0
13.52,Debit,Seattle,ATM,26,Student,65,259.77,1
432.1,Debit,San Francisco,ATM,49,Engineer,240,2114.3,1
642.68,Debit,Fresno,Branch,50,Doctor,94,8461.46,0
78.44,Credit,San Jose,Online,52,Retired,292,6870.84,0
139.72,Debit,Memphis,Branch,49,Engineer,201,5058.83,0
499.99,Debit,San Jose,Branch,31,Engineer,296,8885.0,0
10.07,Debit,Albuquerque,Online,24,Student,49,530.81,1
120.62,Debit,Raleigh,ATM,23,Student,85,9379.53,2
578.49,Debit,Nashville,Branch,59,Retired,180,6475.13,0
280.92,Debit,Phoenix,Online,41,Doctor,168,5298.85,0
42.42,Debit,Sacramento,Online,21,Student,102,490.57,1
77.03,Debit,Fresno,ATM,67,Doctor,259,11310.27,2
22.59,Debit,Seattle,ATM,62,Retired,45,3988.75,1
568.76,Debit,Baltimore,ATM,51,Retired,155,7484.32,0
105.94,Debit,Oklahoma City,Branch,51,Engineer,207,5963.1,0
350.15,Credit,Fresno,ATM,21,Student,195,296.47,1
183.67,Debit,San Diego,Online,19,Student,238,910.26,1
278.27,Debit,Tucson,Branch,29,Doctor,123,6684.34,0
470.3,Debit,Austin,ATM,40,Doctor,88,8524.09,0
261.69,Debit,Philadelphia,ATM,53,Retired,84,5126.65,0
365.04,Debit,Virginia Beach,Branch,22,Student,94,873.89,1
211.1,Debit,Miami,Branch,57,Retired,136,7059.77,0
21.49,Debit,Denver,ATM,58,Doctor,240,11991.24,2
63.58,Debit,Columbus,ATM,18,Student,199,8086.04,0
321.86,Debit,San Antonio,ATM,63,Doctor,167,12626.49,2
12.11,Debit,Jacksonville,Branch,75,Retired,127,1730.28,1
642.54,Debit,Milwaukee,Branch,44,Engineer,28,3143.17,1
210.45,Debit,Las Vegas,ATM,27,Student,146,1242.49,1
313.65,Credit,Chicago,Branch,55,Retired,173,1886.36,1
99.76,Debit,Sacramento,Branch,26,Student,131,416.89,1
115.32,Debit,Denver,Branch,53,Retired,113,5929.08,0
33.61,Debit,Milwaukee,Online,23,Student,72,479.08,1
498.59,Credit,Oklahoma City,Online,33,Doctor,32,5862.99,0
98.81,Debit,San Francisco,Branch,27,Student,91,797.1,1
1.87,Debit,Washington,ATM,65,Retired,147,7287.94,0
78.92,Credit,Jacksonville,Online,59,Engineer,95,5624.86,0
194.29,Credit,Seattle,Branch,39,Engineer,10,2988.41,1
28.73,Debit,Kansas City,ATM,53,Engineer,185,2712.96,1
105.53,Debit,Colorado Springs,Online,24,Student,88,1433.66,1
737.34,Debit,Miami,Online,30,Doctor,34,7336.56,0
237.86,Debit,Philadelphia,ATM,18,Student,210,475.63,1
409.61,Debit,Kansas City,Branch,65,Doctor,89,11698.15,2
75.53,Credit,Fresno,Online,21,Student,157,1034.35,1
72.75,Debit,Phoenix,ATM,64,Doctor,15,12042.79,2
39.11,Debit,Columbus,Online,26,Student,143,518.54,1
729.38,Debit,Los Angeles,ATM,68,Doctor,90,9127.65,2
137.49,Debit,Fort Worth,ATM,34,Engineer,50,4471.05,0
504.71,Debit,Detroit,Online,29,Engineer,61,6214.54,0
371.47,Credit,Milwaukee,Branch,24,Student,58,1187.04,1
430.35,Debit,Charlotte,Online,36,Doctor,205,354.9,1
230.32,Debit,Las Vegas,Branch,35,Engineer,56,791.46,1
121.71,Debit,Chicago,ATM,52,Retired,140,5878.89,0
98.87,Debit,Detroit,Online,20,Student,179,533.2,1
117.55,Debit,Fresno,ATM,24,Student,35,897.94,1
244.64,Debit,Tucson,Branch,30,Doctor,103,9159.56,2
321.93,Debit,Nashville,ATM,45,Engineer,12,4392.73,0
283.23,Debit,El Paso,Online,40,Engineer,98,2008.77,1
346.65,Debit,Washington,Online,30,Engineer,60,6356.96,0
381.62,Debit,Las Vegas,Online,64,Retired,164,6009.12,0
388.65,Debit,Oklahoma City,ATM,76,Retired,43,7896.85,0
29.22,Debit,San Antonio,ATM,24,Student,151,1649.43,1
46.75,Debit,Colorado Springs,Branch,67,Retired,150,2840.43,1
348.64,Debit,San Jose,Online,57,Retired,128,3274.96,1
319.17,Debit,Tucson,Online,73,Retired,81,6501.56,0
73.95,Debit,Kansas City,ATM,26,Student,76,363.92,1
389.63,Debit,Mesa,Online,27,Engineer,99,9748.48,2
217.61,Debit,Chicago,ATM,19,Student,45,1404.53,1
199.84,Debit,Dallas,ATM,21,Student,150,706.44,1
56.35,Debit,Charlotte,ATM,44,Doctor,75,5095.73,0
248.95,Credit,San Francisco,Branch,65,Retired,29,3059.79,1
142.58,Debit,San Antonio,ATM,33,Engineer,145,7844.23,0
333.78,Debit,San Diego,ATM,60,Retired,98,6810.94,0
332.59,Debit,San Antonio,Online,55,Retired,143,1457.07,1
236.81,Debit,Oklahoma City,Branch,22,Student,15,813.68,1
417.8,Credit,Philadelphia,Branch,27,Student,130,1518.82,1
319.27,Debit,San Antonio,ATM,50,Doctor,150,10269.78,2
384.1,Debit,Detroit,Branch,42,Engineer,172,672.79,1
820.62,Credit,Fresno,Branch,61,Doctor,158,6024.8,0
474.77,Credit,Indianapolis,Online,56,Engineer,50,2158.59,1
542.72,Credit,Indianapolis,Branch,43,Doctor,92,6011.8,0
79.8,Debit,Fort Worth,ATM,73,Retired,76,6372.58,0
46.24,Debit,San Diego,Branch,57,Engineer,52,2569.56,1
327.8,Debit,San Francisco,ATM,61,Doctor,54,10585.48,2
445.79,Debit,Las Vegas,ATM,52,Doctor,161,717.99,1
55.89,Debit,Fresno,Online,72,Retired,150,3689.65,1
158.41,Debit,Sacramento,Branch,28,Student,16,1512.16,1
101.19,Credit,Denver,Online,64,Doctor,75,14389.45,2
61.97,Debit,Phoenix,ATM,74,Retired,95,7014.69,0
27.21,Debit,San Jose,ATM,79,Retired,102,3520.61,1
173.74,Debit,Houston,Online,80,Retired,64,4913.42,0
176.11,Debit,San Jose,Branch,38,Engineer,105,9155.35,2
88.4,Debit,Fort Worth,Online,46,Engineer,174,2567.53,1
567.92,Debit,Columbus,Online,53,Retired,14,3779.47,1
138.11,Credit,Phoenix,Online,68,Retired,104,4177.65,0
456.93,Credit,Virginia Beach,Branch,28,Engineer,193,7284.76,0
101.42,Debit,Atlanta,Online,66,Retired,146,6530.59,0
300.61,Debit,El Paso,Online,44,Doctor,51,7895.54,0
265.94,Debit,Boston,Online,54,Engineer,132,6781.3,0
345.54,Debit,San Diego,Online,29,Engineer,50,2091.78,1
411.52,Debit,Los Angeles,ATM,41,Doctor,88,11108.39,2
111.21,Debit,Portland,Branch,35,Doctor,111,9088.36,0
316.37,Debit,Colorado Springs,ATM,53,Engineer,86,4671.69,0
260.63,Debit,Fort Worth,Branch,37,Engineer,142,7534.73,0
92.36,Debit,Dallas,ATM,29,Engineer,144,6353.14,0
262.06,Debit,Oklahoma City,Branch,63,Doctor,118,13587.52,2
64.5,Debit,Denver,ATM,74,Retired,230,1351.24,1
175.94,Debit,Indianapolis,ATM,57,Retired,89,3728.04,1
199.47,Debit,Detroit,Online,57,Doctor,142,6067.44,0
51.07,Debit,Dallas,Branch,63,Retired,133,4292.16,0
435.86,Debit,Jacksonville,ATM,56,Retired,134,3801.82,1
74.73,Credit,Jacksonville,Branch,64,Retired,162,6353.22,0
182.79,Credit,Louisville,Online,23,Student,14,1251.85,1
628.36,Debit,Austin,Online,44,Doctor,108,11869.71,2
268.39,Debit,San Antonio,Online,29,Doctor,177,9409.43,2
362.27,Debit,Jacksonville,ATM,80,Retired,47,6003.59,0
560.15,Credit,Memphis,Online,50,Engineer,92,817.83,1
132.36,Debit,Colorado Springs,Branch,28,Student,160,319.65,1
24.77,Credit,Nashville,Online,40,Engineer,17,478.23,1
80.24,Credit,New York,Branch,53,Doctor,58,8012.81,0
8.65,Debit,Mesa,ATM,68,Retired,198,4201.22,0
178.91,Debit,Omaha,ATM,18,Student,19,8870.89,0
115.22,Debit,San Francisco,Branch,27,Engineer,108,906.2,1
161.63,Debit,San Jose,Online,46,Doctor,276,9286.37,2
542.75,Credit,Nashville,Branch,70,Retired,63,2224.08,1
317.47,Credit,Sacramento,Online,67,Doctor,16,14639.28,2
280.99,Debit,Houston,Branch,45,Engineer,29,9733.59,2
24.19,Debit,San Diego,ATM,29,Engineer,28,2756.2,1
586.85,Debit,Mesa,ATM,36,Doctor,86,6655.15,0
372.41,Debit,San Diego,ATM,55,Retired,143,3233.87,1
63.17,Debit,Fresno,ATM,20,Student,148,1676.57,1
383.69,Debit,Colorado Springs,Online,54,Engineer,285,8371.11,0
247.17,Credit,Chicago,Branch,65,Retired,149,2611.64,1
48.78,Credit,Kansas City,Branch,18,Student,136,552.06,1
4.15,Credit,Omaha,Branch,60,Retired,119,6017.36,0
60.99,Debit,Oklahoma City,Branch,34,Engineer,58,7281.46,0
408.19,Debit,Mesa,Branch,26,Engineer,241,6847.47,0
524.6,Debit,El Paso,Branch,58,Doctor,76,13017.7,2
108.96,Debit,Milwaukee,ATM,26,Student,247,7597.66,0
70.03,Debit,Nashville,Branch,63,Retired,49,7330.31,0
124.84,Debit,Louisville,Online,52,Retired,79,6711.78,0
324.04,Debit,Virginia Beach,ATM,54,Retired,30,2248.06,1
39.69,Debit,Austin,Online,70,Retired,163,3524.68,1
157.7,Credit,Omaha,Branch,58,Engineer,46,8332.58,0
81.27,Credit,Seattle,Online,22,Student,68,1814.48,1
193.82,Debit,Kansas City,Branch,37,Engineer,176,3886.77,1
16.73,Debit,Omaha,Online,79,Retired,165,7591.13,0
474.05,Debit,San Jose,ATM,57,Retired,214,1484.31,1
637.75,Debit,Dallas,Branch,79,Retired,152,4202.92,0
153.59,Credit,Portland,Branch,66,Retired,174,4813.12,0
186.6,Debit,Tucson,Branch,18,Student,139,9716.68,2
644.08,Debit,Atlanta,Online,24,Student,55,1980.62,1
226.66,Debit,Austin,Branch,41,Doctor,168,10216.25,2
305.0,Debit,Phoenix,ATM,22,Student,222,944.83,1
233.1,Credit,Nashville,Branch,42,Doctor,37,7469.2,0
793.13,Debit,Memphis,Online,68,Doctor,76,13389.16,2
224.19,Debit,Houston,ATM,52,Doctor,93,8475.47,0
214.83,Credit,Tucson,ATM,23,Student,63,991.69,1
163.46,Credit,Baltimore,Branch,63,Retired,111,6953.8,0
194.99,Debit,Jacksonville,Branch,34,Engineer,91,1370.03,1
227.5,Debit,Sacramento,Online,34,Doctor,277,11505.35,2
259.9,Debit,Oklahoma City,Online,26,Student,100,914.28,1
59.51,Credit,Dallas,Online,36,Doctor,55,9955.88,2
50.63,Debit,Columbus,Online,64,Retired,143,4732.81,0
112.94,Credit,San Antonio,Online,73,Retired,31,3807.84,1
11.81,Debit,Phoenix,ATM,21,Student,131,320.25,1
329.14,Debit,Sacramento,Branch,55,Doctor,14,12033.92,2
154.24,Debit,Mesa,ATM,61,Retired,82,6109.55,0
233.44,Debit,Chicago,Online,20,Student,297,1691.88,1
141.8,Debit,Chicago,ATM,18,Student,116,1697.67,1
209.03,Debit,Detroit,Branch,55,Engineer,126,8359.5,0
261.14,Debit,San Antonio,ATM,42,Engineer,162,6100.08,0
101.81,Debit,Fort Worth,ATM,45,Doctor,105,13872.03,2
98.71,Debit,Fort Worth,ATM,32,Doctor,117,10095.23,2
87.38,Debit,Atlanta,Branch,21,Student,252,1504.99,1
83.39,Debit,Omaha,Branch,32,Doctor,158,13182.11,2
267.55,Debit,Charlotte,Online,46,Engineer,40,4330.04,0
870.05,Debit,El Paso,ATM,29,Doctor,39,905.25,1
154.32,Credit,Tucson,ATM,38,Engineer,269,6972.5,0
164.51,Debit,Louisville,Branch,78,Retired,110,3553.69,1
758.12,Debit,San Francisco,ATM,69,Retired,90,6164.65,0
103.76,Debit,Kansas City,Online,28,Engineer,188,9626.14,2
583.92,Debit,Kansas City,Online,55,Engineer,139,6364.14,0
204.06,Debit,Washington,Online,77,Retired,159,4351.83,0
53.51,Debit,New York,Online,56,Retired,165,5773.5,0
52.95,Credit,Charlotte,Online,68,Retired,14,6335.58,0
120.17,Debit,Portland,ATM,49,Doctor,105,5403.79,0
220.8,Debit,Indianapolis,Online,31,Engineer,28,8135.31,0
119.01,Debit,Philadelphia,ATM,45,Doctor,87,9798.26,2
183.32,Debit,Raleigh,ATM,21,Student,74,137.42,1
858.88,Debit,Jacksonville,Online,60,Engineer,227,7015.46,0
11.46,Credit,San Francisco,Online,41,Engineer,128,2356.71,1
61.37,Debit,Columbus,Branch,75,Retired,164,4294.44,0
103.08,Credit,Milwaukee,Branch,49,Engineer,150,9251.38,2
1.21,Debit,Atlanta,Branch,55,Retired,196,7542.74,0
425.18,Credit,Colorado Springs,Online,26,Engineer,172,9880.71,2
60.96,Debit,Colorado Springs,ATM,52,Retired,238,6189.24,0
64.21,Debit,Omaha,ATM,51,Doctor,37,12540.18,2
523.02,Debit,Jacksonville,Online,53,Retired,83,4586.11,0
50.26,Debit,Las Vegas,Branch,65,Retired,164,1519.38,1
110.08,Debit,Detroit,Branch,19,Student,95,1447.26,1
54.47,Credit,Philadelphia,Branch,23,Student,34,1131.42,1
79.76,Debit,Kansas City,Online,68,Doctor,115,10278.75,2
16.79,Credit,Detroit,Online,30,Doctor,146,535.15,1
68.62,Debit,Omaha,Branch,29,Doctor,157,13891.47,2
157.16,Debit,New York,Branch,20,Student,280,1545.77,1
643.38,Credit,Detroit,Online,18,Student,105,1046.74,1
328.34,Credit,San Diego,Online,42,Engineer,31,2840.45,1
72.68,Debit,Seattle,Online,69,Retired,44,6216.77,0
354.76,Debit,Detroit,Branch,51,Doctor,279,10141.92,2
793.88,Credit,Los Angeles,ATM,22,Student,252,1404.06,1
29.22,Debit,Detroit,ATM,27,Engineer,69,7795.79,0
653.97,Debit,Miami,Online,37,Engineer,100,3886.65,1
366.43,Credit,Portland,Online,21,Student,92,1560.45,1
233.74,Debit,Boston,Online,72,Retired,142,4749.54,0
471.84,Debit,Raleigh,ATM,18,Student,138,1044.33,1
213.4,Credit,Fort Worth,Branch,73,Retired,100,2012.24,1
254.21,Debit,Phoenix,ATM,48,Engineer,46,2487.2,1
577.73,Debit,San Jose,ATM,37,Doctor,63,14977.99,2
170.26,Debit,Chicago,ATM,27,Student,265,1969.48,1
330.61,Credit,Nashville,Branch,64,Retired,113,2525.25,1
132.33,Credit,Phoenix,ATM,35,Engineer,47,7457.94,0
672.74,Credit,Colorado Springs,Branch,46,Engineer,118,5386.52,0
74.04,Debit,Memphis,Online,18,Student,66,1690.23,1
197.18,Debit,Tucson,Online,28,Engineer,135,3114.92,1
21.15,Debit,Columbus,Branch,70,Retired,180,3466.74,1
218.37,Debit,Houston,ATM,62,Doctor,105,9942.24,2
697.82,Debit,New York,Online,44,Engineer,153,6824.0,0
148.0,Debit,Tucson,Branch,20,Student,35,1488.65,1
22.26,Debit,San Antonio,Branch,19,Student,56,5583.88,0
0.86,Debit,Colorado Springs,ATM,25,Student,139,1357.22,1
757.1,Debit,Atlanta,Branch,65,Doctor,203,10553.23,2
38.81,Credit,Virginia Beach,Online,25,Student,145,1619.6,1
32.46,Debit,Charlotte,Online,31,Doctor,10,8656.18,0
20.64,Debit,Charlotte,Branch,22,Student,59,949.38,1
662.11,Debit,Atlanta,Branch,23,Student,219,1996.38,1
288.77,Debit,Los Angeles,ATM,55,Engineer,110,8836.51,0
35.05,Debit,Boston,Branch,30,Doctor,105,14330.47,2
214.73,Credit,Los Angeles,ATM,46,Doctor,26,5368.42,0
25.38,Debit,Louisville,Branch,57,Engineer,66,8616.05,0
617.66,Debit,Memphis,ATM,41,Engineer,40,5906.58,0
446.39,Debit,Houston,ATM,63,Retired,77,7863.6,0
377.92,Debit,Raleigh,Branch,33,Engineer,204,2254.71,1
11.04,Debit,Phoenix,Online,30,Engineer,43,6983.04,0
275.46,Debit,Fort Worth,ATM,36,Doctor,67,9697.75,2
179.76,Debit,Philadelphia,Online,78,Retired,81,5909.52,0
32.34,Debit,Kansas City,Branch,44,Doctor,45,7847.62,0
